fromNode,fromNode_lat,fromNode_long,toNode,toNode_lat,toNode_long,weight,overhead
302A,1.4045119,103.9044019,Blk 303D (65221),1.4040774,103.9048174,66.68126203,
302A,1.4045119,103.9044019,Opp Punggol View Pr Sch (65359),1.4055431,103.9043482,114.1813779,
302A,1.4045119,103.9044019,Punggol MRT,1.40523,103.90235,241.7600114,
302A,1.4045119,103.9044019,Punggol Station (taxi stand),1.4048609,103.9026867,194.740146,
302A,1.4045119,103.9044019,Punggol Temp Int (65009),1.404107,103.9025242,213.7047832,
302B,1.404406,103.9047562,80,1.4017677,103.9159556,1280.027433,
302B,1.404406,103.9047562,82,1.4016849,103.9162586,1314.947013,
302B,1.404406,103.9047562,84,1.4013841,103.9165819,1357.796869,
302B,1.404406,103.9047562,293,1.4031741,103.9049597,138.0870047,
302B,1.404406,103.9047562,301D,1.4045565,103.9053593,69.14910456,
302B,1.404406,103.9047562,302A,1.4045119,103.9044019,41.13083884,
302B,1.404406,103.9047562,302C,1.4048249,103.9048829,48.41835459,
302B,1.404406,103.9047562,302D,1.4046918,103.90512,51.35969472,
302B,1.404406,103.9047562,303D,1.4042685,103.9050009,31.18864554,
302B,1.404406,103.9047562,Blk 303D (65221),1.4040774,103.9048174,36.96772609,
302C,1.4048249,103.9048829,302A,1.4045119,103.9044019,63.74299992,
302C,1.4048249,103.9048829,302B,1.404406,103.9047562,48.41835459,
302C,1.4048249,103.9048829,302D,1.4046918,103.90512,30.21299474,
302C,1.4048249,103.9048829,303D,1.4042685,103.9050009,62.90972654,
302C,1.4048249,103.9048829,Opp Punggol View Pr Sch (65359),1.4055431,103.9043482,99.23480079,
302C,1.4048249,103.9048829,Punggol View Pr Sch (65351),1.4059238,103.9048756,121.5135213,
302D,1.4046918,103.90512,301D,1.4045565,103.9053593,30.54545642,
302D,1.4046918,103.90512,302B,1.404406,103.9047562,51.35969472,
302D,1.4046918,103.90512,302C,1.4048249,103.9048829,30.21299474,
302D,1.4046918,103.90512,303C,1.404078,103.9052954,70.62205275,
302D,1.4046918,103.90512,303D,1.4042685,103.9050009,48.64679092,
303A,1.403809,103.9057605,293,1.4031741,103.9049597,113.4488376,
303A,1.403809,103.9057605,298,1.4026126,103.9056626,132.7397296,
303A,1.403809,103.9057605,299,1.4027949,103.905336,121.6789268,
303A,1.403809,103.9057605,Blk 298 (65229),1.4032091,103.9055521,70.27132667,
303A,1.403809,103.9057605,301A,1.404157,103.9062753,69.01363501,
303A,1.403809,103.9057605,301B,1.4042851,103.9058892,54.55825259,
303A,1.403809,103.9057605,301C,1.4044227,103.9056415,69.13998154,
303A,1.403809,103.9057605,303B,1.4039404,103.9055183,30.62027383,
303B,1.4039404,103.9055183,80,1.4017677,103.9159556,1186.114604,
