name,lat,long
173B,1.396617,103.9100374
173C,1.3962822,103.9104557
173D,1.396026,103.9109211
174,1.3967478,103.9103319
174A,1.3964385,103.911204
174B,1.3967282,103.9108217
174C,1.3970693,103.910408
174D,1.3973846,103.9099662
175,1.3981717,103.9086496
175A,1.3975311,103.9090031
175B,1.3978542,103.9085954
175C,1.3982009,103.908186
175D,1.3985234,103.9079268
176A,1.3989536,103.90818
176B,1.3986619,103.9085226
176C,1.3983152,103.9089321
176D,1.3979205,103.909464
178,1.3994169,103.9085474
180,1.3985678,103.9092497
181,1.3992552,103.9090922
182,1.3990119,103.9094495
184,1.3984784,103.910081
185,1.3981716,103.9103279
186,1.39876,103.9111127
183,1.3987708,103.9097461
187,1.3990097,103.9108446
188,1.3990866,103.910452
190,1.3993496,103.9100674
191,1.3996205,103.9098027
192,1.3998901,103.909533
193,1.3999259,103.9089278
195A,1.4015477,103.906155
195B,1.4013909,103.9064562
195C,1.4011137,103.9067959
195D,1.4015401,103.907022
195E,1.4017904,103.907216
196,1.3993274,103.9071814
196A,1.3993331,103.9067812
196B,1.3990295,103.90718
196C,1.3994049,103.9075593
196D,1.3996573,103.9073405
197A,1.3998605,103.9069178
197B,1.400119,103.9065877
199,1.4002318,103.905967
199A,1.3997913,103.9062074
199B,1.4000805,103.9057885
199C,1.4006721,103.9058967
199D,1.4004645,103.9062763
201,1.3997837,103.9036857
201A,1.4001999,103.9035303
201B,1.399969,103.9039612
201C,1.3994576,103.9036537
201D,1.3995864,103.9032601
202A,1.3997211,103.9044004
202B,1.399211,103.9041864
203A,1.3986314,103.9038705
203B,1.3981112,103.9035774
204A,1.398944,103.902889
204B,1.3986769,103.9033089
204C,1.3981566,103.9030671
204D,1.398354,103.9026621
205A,1.398578,103.9022135
273A,1.4022774,103.9021262
273B,1.4020322,103.9017853
273C,1.402237,103.9013801
273D,1.4026282,103.9014705
274A,1.4027227,103.9023674
274B,1.4031224,103.9024316
274C,1.4033607,103.901966
274D,1.4031046,103.9017219
288A,1.4023171,103.9031576
288B,1.4027295,103.9032946
288C,1.4025151,103.9036849
289A,1.4015669,103.9027319
289B,1.4012905,103.9032363
289C,1.4016541,103.9034807
289D,1.4020506,103.9036292
292,1.4024226,103.9051032
293,1.4031741,103.9049597
294,1.4026872,103.9046769
295,1.4020047,103.9048642
296,1.4016979,103.905299
297,1.4022883,103.9054975
298,1.4026126,103.9056626
299,1.4027949,103.905336
301A,1.404157,103.9062753
301B,1.4042851,103.9058892
301C,1.4044227,103.9056415
301D,1.4045565,103.9053593
302,1.4048824,103.9045561
302A,1.4045119,103.9044019
302B,1.404406,103.9047562
302C,1.4048249,103.9048829
302D,1.4046918,103.90512
