fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,overhead
293,103.9049597,1.4031741,299,103.905336,1.4027949,59.26055821,
293,103.9049597,1.4031741,294,103.9046769,1.4026872,62.36268259,
293,103.9049597,1.4031741,88,103.9167378,1.4009267,1334.091591,
293,103.9049597,1.4031741,90,103.9165299,1.4006172,1318.280889,
293,103.9049597,1.4031741,80,103.9159556,1.4017677,1233.535804,
299,103.905336,1.4027949,303B,103.9055183,1.4039404,128.2780147,
299,103.905336,1.4027949,303C,103.9052954,1.404078,141.9506327,
299,103.905336,1.4027949,298,103.9056626,1.4026126,41.56173823,
299,103.905336,1.4027949,297,103.9054975,1.4022883,58.82987039,
299,103.905336,1.4027949,296,103.905299,1.4016979,121.3705765,
299,103.905336,1.4027949,295,103.9048642,1.4020047,101.9381504,
299,103.905336,1.4027949,294,103.9046769,1.4026872,74.30931377,
299,103.905336,1.4027949,88,103.9167378,1.4009267,1285.570939,
299,103.905336,1.4027949,293,103.9049597,1.4031741,59.26055821,
298,103.9056626,1.4026126,195A,103.906155,1.4015477,129.8773062,
298,103.9056626,1.4026126,297,103.9054975,1.4022883,40.29244917,
298,103.9056626,1.4026126,294,103.9046769,1.4026872,110.0046778,
298,103.9056626,1.4026126,299,103.905336,1.4027949,41.56173823,
297,103.9054975,1.4022883,195A,103.906155,1.4015477,109.8190944,
297,103.9054975,1.4022883,296,103.905299,1.4016979,68.91960287,
297,103.9054975,1.4022883,295,103.9048642,1.4020047,77.1394294,
297,103.9054975,1.4022883,294,103.9046769,1.4026872,101.4158721,
297,103.9054975,1.4022883,299,103.905336,1.4027949,58.82987039,
297,103.9054975,1.4022883,298,103.9056626,1.4026126,40.29244917,
296,103.905299,1.4016979,297,103.9054975,1.4022883,68.91960287,
296,103.905299,1.4016979,195A,103.906155,1.4015477,96.69812233,
296,103.905299,1.4016979,295,103.9048642,1.4020047,59.09481841,
296,103.905299,1.4016979,293,103.9049597,1.4031741,167.541182,
295,103.9048642,1.4020047,297,103.9054975,1.4022883,77.1394294,
295,103.9048642,1.4020047,296,103.905299,1.4016979,59.09481841,
295,103.9048642,1.4020047,289C,103.9034807,1.4016541,158.7704723,
295,103.9048642,1.4020047,289D,103.9036292,1.4020506,137.5323696,
295,103.9048642,1.4020047,288C,103.9036849,1.4025151,142.8605249,
295,103.9048642,1.4020047,90,103.9165299,1.4006172,1307.268169,
295,103.9048642,1.4020047,294,103.9046769,1.4026872,78.29302499,
295,103.9048642,1.4020047,293,103.9049597,1.4031741,129.7423589,
295,103.9048642,1.4020047,299,103.905336,1.4027949,101.9381504,
295,103.9048642,1.4020047,298,103.9056626,1.4026126,111.4129038,
294,103.9046769,1.4026872,293,103.9049597,1.4031741,62.36268259,
294,103.9046769,1.4026872,299,103.905336,1.4027949,74.30931377,
294,103.9046769,1.4026872,298,103.9056626,1.4026126,110.0046778,
294,103.9046769,1.4026872,297,103.9054975,1.4022883,101.4158721,
294,103.9046769,1.4026872,295,103.9048642,1.4020047,78.29302499,
294,103.9046769,1.4026872,289D,103.9036292,1.4020506,136.1960574,
294,103.9046769,1.4026872,288C,103.9036849,1.4025151,112.0242432,
294,103.9046769,1.4026872,90,103.9165299,1.4006172,1338.789314,
294,103.9046769,1.4026872,88,103.9167378,1.4009267,1356.257367,
294,103.9046769,1.4026872,80,103.9159556,1.4017677,1259.276934,
273A,103.9021262,1.4022774,273B,103.9017853,1.4020322,46.63013431,
273A,103.9021262,1.4022774,273C,103.9013801,1.402237,83.15085182,
273A,103.9021262,1.4022774,273D,103.9014705,1.4026282,82.63975827,
273A,103.9021262,1.4022774,274A,103.9023674,1.4027227,56.08019916,
273A,103.9021262,1.4022774,274C,103.901966,1.4033607,121.1052691,
273A,103.9021262,1.4022774,274D,103.9017219,1.4031046,101.9347681,
273B,103.9017853,1.4020322,273A,103.9021262,1.4022774,46.63013431,
273B,103.9017853,1.4020322,273C,103.9013801,1.402237,50.46018612,
273B,103.9017853,1.4020322,273D,103.9014705,1.4026282,74.63557345,
273B,103.9017853,1.4020322,274C,103.901966,1.4033607,148.2688435,
273B,103.9017853,1.4020322,274D,103.9017219,1.4031046,118.7902845,
273C,103.9013801,1.402237,272C,103.9000408,1.4029164,166.9082545,
273C,103.9013801,1.402237,273A,103.9021262,1.4022774,83.15085182,
273C,103.9013801,1.402237,273B,103.9017853,1.4020322,50.46018612,
273C,103.9013801,1.402237,273D,103.9014705,1.4026282,44.4113752,
273C,103.9013801,1.402237,274A,103.9023674,1.4027227,122.2965401,
273C,103.9013801,1.402237,274B,103.9024316,1.4031224,152.5717124,
273D,103.9014705,1.4026282,273A,103.9021262,1.4022774,82.63975827,
273D,103.9014705,1.4026282,273B,103.9017853,1.4020322,74.63557345,
273D,103.9014705,1.4026282,273C,103.9013801,1.402237,44.4113752,
273D,103.9014705,1.4026282,274A,103.9023674,1.4027227,100.3582099,
273D,103.9014705,1.4026282,274B,103.9024316,1.4031224,120.1085593,
273D,103.9014705,1.4026282,274D,103.9017219,1.4031046,59.64642148,
274A,103.9023674,1.4027227,273A,103.9021262,1.4022774,56.08019916,
274A,103.9023674,1.4027227,273C,103.9013801,1.402237,122.2965401,
274A,103.9023674,1.4027227,273D,103.9014705,1.4026282,100.3582099,
274A,103.9023674,1.4027227,274B,103.9024316,1.4031224,44.77055463,
274A,103.9023674,1.4027227,274C,103.901966,1.4033607,83.50025006,
274A,103.9023674,1.4027227,274D,103.9017219,1.4031046,83.32807238,
274B,103.9024316,1.4031224,273C,103.9013801,1.402237,152.5717124,
274B,103.9024316,1.4031224,273D,103.9014705,1.4026282,120.1085593,
274B,103.9024316,1.4031224,274A,103.9023674,1.4027227,44.77055463,
274B,103.9024316,1.4031224,274C,103.901966,1.4033607,58.13009893,
274B,103.9024316,1.4031224,274D,103.9017219,1.4031046,79.00443385,
274B,103.9024316,1.4031224,Punggol Temporary Interchange,103.9025242,1.404107,109.3587074,
274C,103.901966,1.4033607,273A,103.9021262,1.4022774,121.1052691,
274C,103.901966,1.4033607,273B,103.9017853,1.4020322,148.2688435,
274C,103.901966,1.4033607,274A,103.9023674,1.4027227,83.50025006,
274C,103.901966,1.4033607,274B,103.9024316,1.4031224,58.13009893,
274C,103.901966,1.4033607,274D,103.9017219,1.4031046,39.2410464,
274C,103.901966,1.4033607,Punggol Temporary Interchange,103.9025242,1.404107,103.2898351,
274D,103.9017219,1.4031046,273A,103.9021262,1.4022774,101.9347681,
274D,103.9017219,1.4031046,273B,103.9017853,1.4020322,118.7902845,
274D,103.9017219,1.4031046,273D,103.9014705,1.4026282,59.64642148,
274D,103.9017219,1.4031046,274A,103.9023674,1.4027227,83.32807238,
274D,103.9017219,1.4031046,274B,103.9024316,1.4031224,79.00443385,
274D,103.9017219,1.4031046,274C,103.901966,1.4033607,39.2410464,
301B,103.9058892,1.4042851,301A,103.9062753,1.404157,45.24218055,
301B,103.9058892,1.4042851,301C,103.9056415,1.4044227,31.48591024,
301B,103.9058892,1.4042851,303A,103.9057605,1.403809,54.55825259,
301B,103.9058892,1.4042851,303B,103.9055183,1.4039404,56.18258012,
301B,103.9058892,1.4042851,303C,103.9052954,1.404078,69.93723654,
301B,103.9058892,1.4042851,305A,103.9067226,1.4052051,137.6611544,
301B,103.9058892,1.4042851,305B,103.9063854,1.4053774,132.8055999,
301C,103.9056415,1.4044227,301B,103.9058892,1.4042851,31.48591024,
301C,103.9056415,1.4044227,301D,103.9053593,1.4045565,34.71545769,
301C,103.9056415,1.4044227,303A,103.9057605,1.403809,69.13998154,
301C,103.9056415,1.4044227,303B,103.9055183,1.4039404,55.0644835,
301C,103.9056415,1.4044227,303C,103.9052954,1.404078,54.18729978,
301C,103.9056415,1.4044227,303D,103.9050009,1.4042685,73.30066506,
301C,103.9056415,1.4044227,305B,103.9063854,1.4053774,134.1553377,
301D,103.9053593,1.4045565,301C,103.9056415,1.4044227,34.71545769,
301D,103.9053593,1.4045565,302D,103.90512,1.4046918,30.54545642,
301D,103.9053593,1.4045565,303B,103.9055183,1.4039404,70.38566541,
301D,103.9053593,1.4045565,303C,103.9052954,1.404078,53.38584849,
301D,103.9053593,1.4045565,303D,103.9050009,1.4042685,51.03875473,
302A,103.9044019,1.4045119,80,103.9159556,1.4017677,1321.089482,
302A,103.9044019,1.4045119,82,103.9162586,1.4016849,1356.011178,
302A,103.9044019,1.4045119,84,103.9165819,1.4013841,1398.895702,
302A,103.9044019,1.4045119,293,103.9049597,1.4031741,160.4238498,
302A,103.9044019,1.4045119,302B,103.9047562,1.404406,41.13083884,
302A,103.9044019,1.4045119,302C,103.9048829,1.4048249,63.74299992,
302A,103.9044019,1.4045119,Punggol MRT,103.90235,1.40523,241.7600114,
302A,103.9044019,1.4045119,Punggol Temporary Interchange,103.9025242,1.404107,213.7047832,
302B,103.9047562,1.404406,80,103.9159556,1.4017677,1280.027433,
302B,103.9047562,1.404406,82,103.9162586,1.4016849,1314.947013,
