id,name,long,lat
way/476139920,Punggol Drive,103.9071824,1.4063593
way/476139921,Punggol Drive,103.9091685,1.4049583
way/476139922,Punggol Drive,103.9074428,1.4061808
way/476145597,Punggol Drive,103.9105924,1.4039415
way/476145598,Punggol Drive,103.9108484,1.4037605
way/476145599,Punggol Drive,103.9111654,1.403519
way/476145600,Punggol Drive,103.9140174,1.4014794
way/476145601,Punggol Drive,103.9147224,1.4009682
way/476145602,Punggol Drive,103.918057,1.3985348
way/476145603,Punggol Drive,103.9185164,1.3981932
way/476145609,Punggol East,103.9185983,1.3978174
way/476145610,Punggol East,103.9171306,1.3957514
way/476145611,Punggol East,103.9164905,1.394865
way/476147257,Punggol Central,103.9133572,1.3977306
way/476147258,Punggol Central,103.9130674,1.3979363
way/476147259,Punggol Central,103.9104045,1.3998445
way/476147260,Punggol Central,103.9108068,1.3995509
way/476147261,Punggol Central,103.9112073,1.399454
way/476147262,Punggol Central,103.91078,1.3997594
way/476147263,Punggol Central,103.9100284,1.4001315
way/476147264,Punggol Central,103.9098162,1.400366
way/476147265,Punggol Central,103.9097563,1.4003306
way/476147266,Punggol Central,103.9091688,1.4007446
way/476147268,Punggol Central,103.9074903,1.4019613
way/476147269,Punggol Central,103.9079509,1.4016329
way/476147270,Punggol Central,103.9080694,1.4017069
way/476147271,Punggol Central,103.9086999,1.4012464
way/476147272,Punggol Central,103.9071374,1.4022023
way/476147273,Punggol Central,103.906492,1.4026545
way/476147274,Punggol Central,103.9068223,1.4024157
way/476148399,Punggol Road,103.9055005,1.4007496
way/476148400,Punggol Road,103.9056329,1.4010729
way/476148401,Punggol Road,103.9056737,1.4015364
way/476148402,Punggol Road,103.9055115,1.4011396
way/476148403,Punggol Road,103.905354,1.4004225
way/476148404,Punggol Road,103.9052181,1.4001248
way/476148405,Punggol Field,103.9058406,1.3995743
way/476148406,Punggol Field,103.9064231,1.3991058
way/476148407,Punggol Field,103.9068392,1.3987445
way/476148408,Punggol Field,103.9071495,1.3984793
way/476148409,Punggol Field,103.9069952,1.3986145
way/476148410,Punggol Field,103.90723,1.3985682
way/476148411,Punggol Field,103.9074061,1.3982609
way/476149333,Punggol Field,103.9089754,1.3970058
way/476149334,Punggol Field,103.9095205,1.3965583
way/476149335,Punggol Field,103.910068,1.3961133
way/476149336,Punggol Field,103.9108503,1.3954661
way/476149337,Punggol Field,103.9111445,1.3952234
