fromNode,fromNode_long,fromNode_lat,OppBusStop
Opp Punggol View Pr Sch (65359),103.9043482,1.4055431,Punggol View Pr Sch (65351)
Opp Track 22 (65121),103.9098961,1.4185387,Aft Track 22 (65129)
Punggol Cove Pr Sch (65671),103.8986762,1.4113084,Opp Punggol Cove Pr Sch (65679)
Punggol MRT,103.90235,1.40523,0
Punggol Rd End (65139),103.9104942,1.4211193,0
Punggol Sec/Blk 601B (65281),103.907859,1.401923,Opp Punggol Sec/Blk 195E (65289)
Punggol Secondary School (65381),103.9097855,1.4021363,Opp Punggol Secondary School (65389)
Punggol Stn/Int (65259),103.9029973,1.4048048,65251
Punggol Temp Int (65009),103.90253,1.40409,0
Punggol View Pr Sch (65351),103.9048756,1.4059238,Opp Punggol View Pr Sch (65359)
Riviera LRT,103.9161538,1.394538,0
Riviera Stn Exit A (65239),103.916123,1.3942075,Riviera Stn Exit B (65231)
Riviera Stn Exit B (65231),103.915795,1.39429,Riviera Stn Exit A (65239)
Samudera Stn Exit A (65629),103.90221,1.41612,Samudera Stn Exit B (65621)
Samudera Stn Exit B (65621),103.90243,1.41592,Samudera Stn Exit A (65629)
Soo Teck Stn (65141),103.8974167,1.4053356,Soo Teck Stn (65149)
Soo Teck Stn (65149),103.89706,1.4052507,Soo Teck Stn (65141)
Twin Waterfalls (65431),103.8967454,1.4024184,Aft TPE (65439)
Waterwoods (65521),103.9128944,1.3903418,0
