name,long,lat
162B,103.9145534,1.3964243
163A,103.9140812,1.3956697
163B,103.9137773,1.3957938
162,103.9143267,1.3961224
165B,103.9144496,1.3952966
160,103.91525,1.3954
160B,103.9160176,1.3953385
172,103.9118169,1.3955323
171A,103.9124126,1.3946796
171B,103.9127946,1.3951542
171C,103.9132875,1.3948765
172C,103.9123215,1.3955486
Punggol Plaza,103.91298,1.39426
171,103.9126044,1.3948994
172B,103.9119438,1.3958653
Blk 162B (65269),103.9149239,1.3964771
162B ,103.9145534,1.3964243
Riviera LRT,103.9161538,1.394538
Riviera Stn Exit B (65231),103.915795,1.39429
167C,103.9147775,1.3944258
167B,103.9150005,1.3942537
170A,103.9148859,1.3935556
167A,103.9151986,1.3940384
167D,103.9145523,1.3945842
168A,103.9142589,1.3946166
168B,103.9139906,1.3945219
168D,103.9140238,1.393761
168C,103.9137764,1.3938955
169B,103.9141011,1.3932211
169C,103.9142471,1.3936208
170C,103.9145822,1.393096
169A,103.9143222,1.3930746
170B,103.9147303,1.3933303
Coral Edge LRT,103.9125723,1.3939318
Coral Edge Stn Exit B (65171),103.9122461,1.3944344
Greendale Pr Sch (65429),103.9120865,1.3967443
65251,103.90276,1.40514
Aft Punggol Dr (65489),103.9056935,1.4081396
Aft Punggol Field (65529),103.9142797,1.3914883
Aft Punggol Pt Stn (65631),103.90552,1.4172
Aft Punggol Rd (65199),103.9055001,1.3959978
Aft Punggol Rd (65209),103.9038676,1.4003315
Aft Sumang Lane (65549),103.8910307,1.4035039
Aft TPE (65439),103.8963115,1.4017197
Aft Track 22 (65129),103.9098961,1.4185387
Bef Blk 264 (65409),103.899574,1.406245
Bef Punggol Ctrl (65189),103.91793,1.396827
Bef Punggol Dr (65481),103.90887,1.40763
Bef Punggol Pt Stn (65639),103.90559,1.41746
Bef Punggol Rd (65191),103.9055001,1.3959978
Bef Sumang Lane (65541),103.8912351,1.4035469
Blk 102C (65079),103.9047796,1.3988936
Blk 218 (65571),103.8955797,1.4034253
Blk 224A Bus Stop (65539),103.893714,1.4022195
Blk 226A (65531),103.8935666,1.402367
Blk 227A (65551),103.8934202,1.4037635
Blk 258A (65579),103.8959034,1.4035623
Blk 259 Carpark (65499),103.8950751,1.404596
Blk 268C (65339),103.8981118,1.4031893
Blk 272C (65349),103.9006432,1.4022889
Blk 310B (65469),103.9011984,1.4097733
Blk 312 CP (65461),103.90135,1.40988
Blk 315B (65449),103.8959875,1.4080168
Blk 322 Carpark (65451),103.8975557,1.4107318
Blk 661A (65379),103.9163,1.4028
Blk 670A (65399),103.9126284,1.4058029
Blk 672A (65391),103.9124459,1.4059501
Blk 682A (65371),103.9161895,1.4029162
Coral Edge Stn Exit A (65179),103.9118997,1.3942822
Cove Stn Exit A (65159),103.9061631,1.3990411
Damai Stn Exit A (65309),103.909134,1.404944
Horizon Primary School (65411),103.9138187,1.3994654
Kadaloor LRT,103.9164448,1.399601
Kadaloor Stn Exit A (65329),103.9162493,1.3999112
Meridian Stn Exit A (65169),103.910029,1.3958293
Nibong Stn Exit A (65619),103.89998,1.41148
Nibong Stn Exit B (65611),103.90036,1.41134
Oasis LRT,103.9127329,1.4022823
Oasis Stn Exit A (65319),103.9127387,1.402466
Opp Blk 103A (65071),103.9041539,1.3984929
Opp Blk 227A (65559),103.8924934,1.4040841
Opp Blk 259 Carpark (65491),103.8948119,1.4045728
Opp Blk 264A (65401),103.89871,1.4065689
Opp Blk 268D (65331),103.8986331,1.4026665
Opp Blk 272C (65341),103.900933,1.4017647
Opp Blk 315B (65441),103.8957547,1.4081914
Opp Blk 322 Carpark (65459),103.8977409,1.4105725
Opp Punggol Cove Pr Sch (65679),103.8990257,1.4109443
Opp Punggol Secondary School (65389),103.9101159,1.4022258
Opp Track 22 (65121),103.9098961,1.4185387
Punggol Cove Pr Sch (65671),103.8986762,1.4113084
Punggol Rd End (65139),103.9104942,1.4211193
Punggol Stn/Int (65259),103.9029973,1.4048048
