,bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,opp
48,3,way/620514218,103.9151316,1.3929868,way/620514217,103.9149772,1.3927764,,0
49,3,way/620514217,103.9149772,1.3927764,way/620514219,103.9148852,1.3926442,,0
50,3,way/620514219,103.9148852,1.3926442,way/620514216,103.9147466,1.3924406,,0
51,3,way/620514216,103.9147466,1.3924406,way/173963241,103.9146128,1.3922479,,0
52,3,way/173963241,103.9146128,1.3922479,way/35092009,103.9145156,1.3922418,,0
53,3,way/35092009,103.9145156,1.3922418,way/620514577,103.914284,1.3924337,,0
54,3,way/620514577,103.914284,1.3924337,way/620514576,103.9140113,1.392657,,0
55,3,way/620514576,103.9140113,1.392657,way/173963244,103.9136841,1.3929187,,0
56,3,way/173963244,103.9136841,1.3929187,way/620514575,103.9134004,1.393147,,0
57,3,way/620514575,103.9134004,1.393147,way/620514878,103.9124308,1.3939458,,0
58,3,way/620514878,103.9124308,1.3939458,Coral Edge Stn Exit A(65179),103.9118997,1.3942822,,0
59,3,Coral Edge Stn Exit A(65179),103.9118997,1.3942822,way/535773836,103.9113722,1.3948128,,0
60,3,way/535773836,103.9113722,1.3948128,way/620514877,103.9110801,1.3950557,,0
61,3,way/620514877,103.9110801,1.3950557,way/534637120,103.9108927,1.3952198,,0
62,3,way/534637120,103.9108927,1.3952198,Meridian Stn Exit A(65169),103.910029,1.3958293,,0
63,3,Meridian Stn Exit A(65169),103.910029,1.3958293,way/534637123,103.90954,1.396298,,0
64,3,way/534637123,103.90954,1.396298,way/620519867,103.9081877,1.3973968,,0
65,3,way/620519867,103.9081877,1.3973968,way/649801185,103.9078244,1.3977026,,0
66,3,way/649801185,103.9078244,1.3977026,way/620519868,103.9075658,1.3979008,,0
67,3,way/620519868,103.9075658,1.3979008,way/620519866,103.9073006,1.3981067,,0
68,3,way/620519866,103.9073006,1.3981067,way/512918169,103.9071746,1.3982113,,0
69,3,way/512918169,103.9071746,1.3982113,way/175052982,103.9070222,1.3983536,,0
70,3,way/175052982,103.9070222,1.3983536,Cove Stn Exit A(65159),103.9061631,1.3990411,,0
71,3,Cove Stn Exit A(65159),103.9061631,1.3990411,way/620522276,103.905969,1.3991975,,0
72,3,way/620522276,103.905969,1.3991975,way/620522277,103.9057933,1.3993302,,0
73,3,way/620522277,103.9057933,1.3993302,way/620522275,103.9055425,1.3995032,,0
74,3,way/620522275,103.9055425,1.3995032,way/445283041,103.9051807,1.3995924,,0
75,3,way/445283041,103.9051807,1.3995924,Blk 102C(65079),103.9047796,1.3988936,,0
76,3,Blk 102C(65079),103.9047796,1.3988936,way/620576652,103.9043657,1.3982583,,0
