bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,direction
3 Reverse,way/582412282,103.9052805,1.3999071,way/174886180,103.9055732,1.3997351,37.71942087,1
3 Reverse,way/174886180,103.9055732,1.3997351,way/476148405,103.9058406,1.3995743,34.66530774,1
3 Reverse,way/476148405,103.9058406,1.3995743,way/708890745,103.9060204,1.3994459,24.53468547,1
3 Reverse,way/708890745,103.9060204,1.3994459,Cove Stn Exit B (65151),103.9065501,1.3991335,68.32410187,1
3 Reverse,Cove Stn Exit B (65151),103.9065501,1.3991335,way/476148407,103.9068392,1.3987445,53.71472803,1
3 Reverse,way/476148407,103.9068392,1.3987445,way/476148409,103.9069952,1.3986145,22.53945752,1
3 Reverse,way/476148409,103.9069952,1.3986145,way/476148408,103.9071495,1.3984793,22.76741964,1
3 Reverse,way/476148408,103.9071495,1.3984793,way/75138969,103.9072694,1.3983646,18.40922708,1
3 Reverse,way/75138969,103.9072694,1.3983646,way/476148411,103.9074061,1.3982609,19.05032558,1
3 Reverse,way/476148411,103.9074061,1.3982609,way/512918170,103.9081948,1.3976368,111.6522762,1
3 Reverse,way/512918170,103.9081948,1.3976368,way/476149333,103.9089754,1.3970058,111.4212513,1
3 Reverse,way/476149333,103.9089754,1.3970058,way/476149334,103.9095205,1.3965583,78.28420305,1
3 Reverse,way/476149334,103.9095205,1.3965583,Meridian Stn Exit B (65161),103.9098666,1.3963978,42.40839446,1
3 Reverse,Meridian Stn Exit B (65161),103.9098666,1.3963978,way/649392802,103.9104588,1.3957934,93.86043171,1
3 Reverse,way/649392802,103.9104588,1.3957934,way/476149336,103.910068,1.3961133,56.05975437,1
3 Reverse,way/476149336,103.910068,1.3961133,way/649392802,103.9104588,1.3957934,56.05975437,1
3 Reverse,way/649392802,103.9104588,1.3957934,way/476149336,103.9108503,1.3954661,56.63952874,1
3 Reverse,way/476149336,103.9108503,1.3954661,way/534637114,103.9109988,1.3953432,21.39602752,1
3 Reverse,way/534637114,103.9109988,1.3953432,way/476149337,103.9111445,1.3952234,20.93773832,1
3 Reverse,way/476149337,103.9111445,1.3952234,way/383281865,103.9118815,1.3946052,106.7695712,1
